ANOENC,CPRO,ZONAUR,NMIEMB,NMIEM3,NMIEM4,NMIEM7,UC1,UC2,TIPHOGAR_9,TIPHOGAR_10,TIPHOGAR_11,NUMACTI,NUMOCUP,NUMESTU,SITUOCU_HOG,SITUACT_HOG,SEXOSP,NACIONASP,ECIVILSP,UNIONSP,ESTUDIOS_SP,SITUACT_SP,JORNADASP,IMPEXACPSP,INTERINPSP,SITPROF,SECTOR,TIPOCONT,SITSOCI,SITSOCI_RE,REGTEN,TIPOEDIF,ZONARES,TIPOCASA,NHABIT,ANNOCON,SUPERF,AGUACALI,FUENAGUA,CALEF,FUENCALE,PAGAGC,GC_AGUAFRI,ALQAGFRI,FUENPRIN,IMPEXAC,IMPUEXAC,INTERIN,IMPU_INTER,NUMPERI,CODIGO,GASTO,FACTOR,QAGUA,EDAD_SP,numero_HOGAR,vivienda,HOGAR
2006,01,1,05,00,05,00,3.8,3,3,6,6,03,03,01,4,4,1,,2,,2,2,,,,3,-9,-9,5,3,2,4,3,2,08,1,130,1,2,1,2,1,6,,1,4132,1,07,6,03,04411,106715.89,746.056251,143.0400052,3,0,0,0
2006,01,1,01,00,01,00,1,1,1,1,1,00,00,00,8,8,6,,3,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,060,1,2,1,2,1,6,,3,701,1,02,6,01,04411,40153.26,750.247718,53.52000284,3,0,0,0
2006,01,1,04,01,03,01,2.9,2.3,6,5,5,03,02,00,3,1,1,,2,,8,1,,,,1,6,1,3,1,1,4,3,2,05,6,070,1,2,1,2,1,6,,2,1276,1,03,6,01,04411,34470.51,574.50857,59.99999269,1,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,3,4,,,,2,-9,-9,8,5,1,4,3,2,05,6,070,1,3,1,4,1,6,,3,1500,1,04,1,-9,04411,21326.85,495.052271,43.07999629,3,0,0,0
2006,01,1,02,00,02,00,1.7,1.5,2,3,3,00,00,00,8,8,1,,2,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,060,1,2,1,2,1,6,,3,1081,1,03,6,01,04411,19479.12,536.024085,36.34000886,3,0,0,0
2006,48,1,03,01,02,01,2.2,1.8,5,4,4,02,02,00,2,2,1,,2,,3,1,,,,1,6,2,3,1,2,4,3,2,04,1,069,1,2,1,2,1,6,,2,3333,1,07,6,02,04411,22426.84,364.308637,61.56000084,1,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,01,01,00,6,6,1,,2,,3,4,,,,1,6,1,8,5,1,4,3,2,05,6,070,1,2,1,2,1,6,,3,2776,1,06,6,02,04411,29351.72,587.034409,49.99999923,3,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,02,01,00,5,3,1,,2,,4,1,,,,1,6,1,4,2,1,4,3,2,05,6,085,1,4,1,4,1,6,,2,1430,1,03,6,01,04411,20148.98,379.739533,53.060001,2,0,0,0
2006,20,1,06,02,04,03,4.3,3.3,6,5,5,02,02,02,2,2,1,,2,,2,1,,,,2,-9,-9,5,3,2,4,3,3,04,6,070,1,2,1,2,1,6,,1,2347,1,05,6,02,04411,114891.89,780.727742,147.1599942,3,0,0,0
2006,01,1,01,00,01,00,1,1,1,1,1,01,01,00,-9,-9,1,,1,,8,1,,,,1,6,2,4,2,1,4,3,2,05,6,068,1,2,1,2,1,6,,2,1278,1,03,6,01,04411,38094.15,950.927254,40.06000442,1,0,0,0
2006,01,1,02,01,01,01,1.7,1.5,4,2,2,01,01,00,-9,-9,6,,5,,8,1,,,,1,6,1,3,1,3,4,3,2,04,6,070,1,2,1,2,6,,6,2,1297,1,03,6,01,04411,27151.7,324.160737,83.75998972,2,0,0,0
2006,48,1,04,02,02,02,2.7,2.1,5,4,4,02,02,00,2,2,1,,2,,5,1,,,,1,1,1,1,1,2,4,3,2,06,1,120,1,2,1,2,1,6,,2,2293,1,05,1,02,04411,12266.46,289.5764,42.36001276,2,0,0,0
2006,01,1,03,00,03,00,2.4,2,3,6,6,01,01,00,6,6,1,,2,,2,4,,,,1,6,1,8,5,1,4,3,2,05,6,087,1,2,1,2,1,6,,3,1798,1,04,6,02,04411,24809.75,529.783243,46.83000138,3,0,0,0
2006,48,1,04,02,02,02,2.7,2.1,5,4,4,02,02,00,2,2,1,,2,,8,1,,,,1,1,1,2,2,1,4,3,2,06,1,090,1,2,1,2,1,6,,2,3970,1,07,6,02,04411,11357.32,230.839822,49.20000328,2,0,0,0
2006,20,1,02,00,02,00,1.7,1.5,2,6,6,02,02,00,-9,-9,6,,1,,8,1,,,,1,6,2,3,1,1,4,3,2,04,6,062,1,2,1,2,1,6,,2,1597,1,04,6,02,04411,36633.2,605.207305,60.53000302,2,0,0,0
2006,01,1,04,00,04,00,3.1,2.5,3,6,6,03,03,00,4,4,1,,2,,5,1,,,,1,6,1,3,1,1,4,3,2,04,6,070,1,2,1,2,1,6,,2,2502,1,06,6,03,04411,34125.65,580.763247,58.76000277,3,0,0,0
2006,48,1,02,00,02,00,1.7,1.5,2,3,3,02,02,00,2,2,1,,2,,3,1,,,,1,6,2,3,1,2,4,3,2,05,1,090,1,2,1,2,1,6,,2,2923,1,06,6,02,04411,18690.7,393.986057,47.4400037,1,0,0,0
