"ORDENCCC","ORDENTRA","NUTS1","CNACE","ESTRATO2","CONTROL","MERCADO","REGULACION","SEXO","TIPOPAIS","CNO1","RESPONSA","ESTU","ANOANTI","MESANTI","TIPOJOR","TIPOCON","FIJODISM","FIJODISD","VAL","VAN","PUENTES","JAP","JSP1","JSP2","HEXTRA","DRELABM","SIESPM1","DSIESPM1","SIESPM2","DSIESPM2","SALBASE","EXTRAORM","PHEXTRA","COMSAL","COMSALTT","IRPFMES","COTIZA","BASE","DRELABAM","DRELABAD","SIESPA1","DSIESPA1","SIESPA2","DSIESPA2","SIESPA3","DSIESPA3","SIESPA4","DSIESPA4","SALBRUTO","GEXTRA","VESP","ANOS2","FACTOTAL","DIASMES","DIASRELABA","DIASANO","SALMES","SALMOR","SALNETO","SALANUAL","SALAOR","JMP1","SALHORA","MUJER","MUJERPRIV","ANTIGUEDAD","PROV"
48021969,17,"NORESTE","Q0","3","PUBLICO","MREGIONAL","2","MUJER","ESPANOL","D0",0,"FP",3,3,"PARCIAL","TEMPORAL",0,0,28,0,0,1453,33,30,0,31,1,4,6,0,1908.99,0,0,0,0,198.4,133.93,2109.11,10,28,1,31,6,0,6,0,6,0,23640.42,3066.6372667068,0,3,24.08,31,332.2,332.2,1908.99,1908.99,1576.66,25974.5734497291,22907.9361830223,145.725,13.0999485331961,1,1,3.25,"BIZKAIA"
1000832,12,"NORESTE","C8","2","PRIVADO","MUE","3","HOMBRE","ESPANOL","L0",0,"SECUNDARIA2",26,6,"PARCIAL","INDEFINIDO",0,0,26,0,14,1688,40,0,0,31,6,0,6,0,1551.86,0,0,1672.28,99.26,580.34,223.4,3518.12,12,0,6,0,6,0,6,0,6,0,40386.19,3118.38,326.04,5,21.52,31,365,365,3224.14,3224.14,2420.4,40712.23,37267.81,174,18.5295402298851,0,0,26.5,"ARABA"
20000112,25,"NORESTE","C8","3","PRIVADO","MMUNDIAL","4","HOMBRE","ESPANOL","L0",0,"POSGRADO",5,4,"PARCIAL","INDEFINIDO",0,0,26,0,0,1593,37,0,0,31,6,0,6,0,949.91,0,0,2241.4,528.54,707.88,228.41,3597,12,0,1,20,6,0,6,0,6,0,43228.33,5542.21,951.88,5,113.6,31,365,365,3191.31,3191.31,2255.02,44180.21,37686.12,160.95,19.8279589934762,0,0,5.33333333333333,"GIPUZKOA"
48000436,7,"NORESTE","C2","2","PRIVADO","MNACIONAL","3","MUJER","ESPANOL","O0",0,"PRIMARIA",38,0,"PARCIAL","INDEFINIDO",0,0,26,0,0,1636,40,0,0,31,1,31,6,0,2065.8,0,0,0,0,427.77,228.41,3596.93,11,0,1,73,6,0,6,0,6,0,36982,15550.0122527046,466.628862590401,5,20.24,31,334.62,334.62,2065.8,2065.8,1409.62,40806.208086785,24789.56697149,174,11.8724137931034,1,1,38,"BIZKAIA"
1015318,4,"NORESTE","C2","2","PRIVADO","MUE","3","HOMBRE","ESPANOL","L0",0,"SECUNDARIA2",35,9,"COMPLETA","INDEFINIDO",0,0,30,0,0,1748,40,0,0,31,6,0,6,0,1198.77,0,0,797.38,144,393.25,166.48,2621.69,12,0,1,23,6,0,6,0,6,0,24089.8,0,0,5,7.67,31,365,365,1996.15,1996.15,1436.42,24089.8,24089.8,174,11.4721264367816,0,0,35.75,"ARABA"
48051393,1,"NORESTE","M0","2","PRIVADO","MNACIONAL","2","MUJER","ESPANOL","C0",1,"POSGRADO",8,11,"COMPLETA","INDEFINIDO",0,0,22,0,2,1742,40,0,0,31,6,0,6,0,2045.56,0,0,280,0,395.35,170.39,2683.34,12,0,6,0,6,0,6,0,6,0,32200.06,4472.23,0,4,9.7,31,365,365,2325.56,2325.56,1759.82,32200.06,27727.83,174,13.3652873563218,1,1,8.91666666666667,"BIZKAIA"
1006791,25,"NORESTE","Q0","3","PUBLICO","MREGIONAL","2","MUJER","ESPANOL","O0",0,"SECUNDARIA1",9,0,"PARCIAL","TEMPORAL",0,0,28,0,5,1614,40,0,0,31,6,0,6,0,548.47,0,0,1662.31,133.37,249.35,90.11,1917.33,12,0,1,81,6,0,6,0,6,0,23220.38,2367.55,0,6,37.96,31,365,365,2210.78,2210.78,1871.32,23220.38,20852.83,174,12.705632183908,1,1,9,"ARABA"
48013648,20,"NORESTE","H1","3","PUBLICO","MREGIONAL","4","HOMBRE","ESPANOL","N0",0,"FP",19,4,"PARCIAL","INDEFINIDO",0,0,0,35,0,1664,37,50,0,31,6,0,6,0,1992.74,0,0,822.14,361.33,467.53,197.63,3112.28,12,0,6,0,6,0,6,0,6,0,39023.25,5872.31,0,4,35.56,31,365,365,2814.88,2814.88,2149.72,39023.25,33150.94,164.575,17.1039343764241,0,0,19.3333333333333,"BIZKAIA"
48021893,13,"NORESTE","Q0","3","PUBLICO","MREGIONAL","5","MUJER","ESPANOL","B0",0,"GRADO",39,1,"PARCIAL","INDEFINIDO",0,0,28,0,0,1615,37,30,0,31,6,0,6,0,958.98,0,0,2412.06,0,661.78,172.66,3597,12,0,6,0,6,0,6,0,6,0,44932.67,4492.94,0,5,27.52,31,365,365,3371.04,3371.04,2536.6,44932.67,40439.73,163.125,20.6653793103448,1,1,39.0833333333333,"BIZKAIA"
20015418,18,"NORESTE","Q0","3","PUBLICO","MREGIONAL","5","MUJER","ESPANOL","H0",0,"SECUNDARIA2",13,11,"PARCIAL","INDEFINIDO",0,0,28,0,5,1614,37,30,0,31,6,0,6,0,548.47,0,0,1508.73,328.22,370.3,109.27,2324.98,12,0,6,0,6,0,6,0,6,0,22629.2,0,0,6,25.48,31,365,365,2057.2,2057.2,1577.63,22629.2,22629.2,163.125,12.6111877394636,1,1,13.9166666666667,"GIPUZKOA"
