"salhora","trabaja","genero","edad","buscat","tiene_hijos","nac","parado","RGIrecep","sitlab","prov"
0,0,"Mujer",62,0,0,"espanola",0,0,"inactivo","Araba"
18.75,1,"Hombre",41,0,1,"espanola",0,0,"indefinido","Araba"
4.5454545,1,"Mujer",49,0,1,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",16,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",59,0,1,"espanola",0,1,"inactivo","Araba"
0,0,"Hombre",21,0,0,"espanola",0,1,"inactivo","Araba"
0,0,"Hombre",64,0,0,"espanola",0,0,"inactivo","Araba"
0,0,"Mujer",58,0,0,"espanola",0,0,"inactivo","Araba"
9.659091,1,"Mujer",34,0,0,"espanola",0,0,"autonomo","Araba"
7.9545455,1,"Hombre",56,0,1,"espanola",0,0,"temporal","Araba"
0,0,"Mujer",53,0,1,"espanola",0,0,"inactivo","Araba"
7.9545455,1,"Hombre",24,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",18,0,0,"espanola",0,0,"inactivo","Araba"
12.727273,1,"Mujer",42,0,1,"espanola",0,0,"indefinido","Araba"
8.617424,1,"Hombre",41,0,1,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",46,0,1,"espanola",0,0,"inactivo","Araba"
4.5454545,1,"Mujer",28,0,0,"espanola",0,0,"temporal","Araba"
9.090909,1,"Mujer",36,0,0,"espanola",0,0,"indefinido","Araba"
0,0,"Mujer",57,1,1,"espanola",1,0,"inactivo","Araba"
8.617424,1,"Hombre",33,0,0,"espanola",0,0,"indefinido","Araba"
11.26894,1,"Hombre",40,0,0,"espanola",0,0,"indefinido","Araba"
13.920454,1,"Mujer",46,0,0,"espanola",0,0,"indefinido","Araba"
6.25,1,"Hombre",39,0,1,"espanola",0,0,"temporal","Araba"
5.681818,1,"Mujer",37,0,1,"espanola",0,0,"autonomo","Araba"
11.458333,1,"Mujer",48,0,0,"espanola",0,0,"indefinido","Araba"
